"id","Progress","Duration__in_seconds_","Finished","RecordedDate","ResponseId","Consent","ATT01","ATT02","ATT03","ATT04","ATT05","ATT06","ATT07","ATT08","ATT09","ATT10","ATT11","ATT12","ATT13","ATT14","ATT15","ATT16","ATT17","ATT18","ELS01","ELS02","ELS03","ELS04","ELS05","ELS06","ELS07","ELS08","ATT19","ATT20","ATT21","ATT22","ATT23","ATT24","ATT25","ATT26","ATT27","ATT28","ATT29","ATT30","ATT31","ATT32","ATT33","RECS01","RECS02","RECS03","RECS04","RECS05","RECS06","RECS07","RECS08","RECS09","RECS10","RECS11","RECS12","RECS13","RECS14","RECS15","RECS16","LAN01","LAN02","LAN03","LAN04","LAN05","LAN06","LAN07","LAN08","LAN09","NEP01","NEP02","NEP03","NEP04","NEP05","NEP06","NEP07","NEP08","NEP09","NEP10","NEP11","NEP12","NEP13","NEP14","NEP15","DUMMYVAR01","DUMMYVAR02","DUMMYVAR03","DUMMYVAR04","DUMMYVAR05","DUMMYVAR06","DEM01","DEM02","DEM03","DEM04","DEM05","DEM06","DEM07","DEM08","DEM09","DEM10","DEM11","DEM12","DEM13","DEM14","DEM15","DEM16","DEM17","DEM18","DEM19","DEM20","DEM21","DEM22","DEM23","DEM24","DEM25","DEM26","DEM27","LAN10","LAN11","LAN12","LAN13","LAN14","LAN15","LAN16","LAN17","LAN18","LAN19","LAN20","LAN21","LAN22","LAN23","LAN24","LAN25","LAN26","LAN27","LAN28","LAN29","LAN30","LAN31","LAN32","LAN33","LAN34","LAN35","LAN36","LAN37","LAN38","LAN39","LAN40","LAN41","LAN42","LAN43","LAN44","LAN45","LAN46","LAN47","LAN48","LAN49","LAN50","LAN51","LAN52","LAN53","LAN54","LAN55","LAN56","LAN57","LAN58","LAN59","LAN60","LAN61","LAN62","LAN63","LAN64","LAN65","LAN66","LAN67","LAN68","LAN69","LAN70","LAN71","LAN72","LAN73","LAN74","LAN75","LAN76","LAN77","LAN78","LAN79","LAN80","LAN81","LAN82","LAN83","LAN84","LAN85","LAN86","LAN87","RS01","RS02","RS03","RS04","RS05","RS06","DEM28","DEM29","DEM30"
288,100,1057,1,2018-02-28 11:26:52,"R_3Pccgrs3VgsiqZg",1,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,500,10,1,2,3,3,3,2,2,1,1,78,150,142,140,164,166,166,166,167,74,161,165,125,146,90,1,3,"",3,"",3,"2",3,3,"","5",2,4,5,2,1,"Using less water for bathing and dishes.  Turning off lights when not in use.","People leaving the water running when not in use.  People leaving the lights on when not there.","Sure!  We can switch out our washing machine for a more energy efficient one.  We can also use more energy efficient lighting in the house.",4,6,4,6,4,6,2,4,2,2,2,4,1,2,2,4,2,4,2,3,2,0,0,0,0,0,0,2,75,1,42,3,4,3,1,1,"",1,"",1,1,1,1,1,1,3,2,1,1,1,"",1,8,80,73,73,73,73,1,2,73,6,73,7,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,2,4,5,5,2,2,1,6
289,100,900,1,2018-02-28 12:38:17,"R_2xUUA6Rrlzr1X74",1,7,7,3,3,3,4,6,2,1,1,6,2,1,2,2,500,10,1,2,4,3,3,3,2,3,1,9,170,138,137,200,200,200,200,200,162,27,200,200,200,180,2,1,"",1,"",2,"0",7,6,"Don't use individual AC units","9",6,3,3,2,1,"Replace all bulbs with LEDs; set thermostat higher in summer/lower in winter. Use appliances less.","Leaving lights on when not home; not resetting thermostat when not home.","Setting the thermostat when going out/replacing bulbs/replacing appliances with energy star appliances.",4,2,3,2,3,1,4,2,4,2,3,2,2,2,3,1,4,1,3,1,4,0,0,0,0,0,0,1,300,1,24,3,2,3,1,1,"",1,"",1,2,1,1,1,2,5,2,0,0,1,"",1,8,48,74,74,74,74,2,2,73,2,75,6,3,1,1,1,1,1,1,1,1,1,3,3,2,3,3,3,2,2,3,2,1,6,6,2,2,2,2,2,2,2,2,1,6,6,4,1,1,1,1,1,1,1,1,1,3,3,5,5,5,5,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,5,6,6,4,4,5,1,1,3,2,2,1
290,100,398,1,2018-03-01 20:01:10,"R_1ezMVraf8KxaPGO",1,4,7,5,7,4,8,4,4,7,3,6,4,6,3,7,1000,1,10,2,2,3,3,2,1,2,3,42,107,67,114,78,135,70,116,66,69,123,69,119,77,143,3,2,"",3,"",1,"2",4,3,"","4",2,3,2,1,2,"energy lights","good treys","dont know",1,3,1,2,2,2,2,4,3,4,2,4,3,4,3,4,2,4,3,4,3,0,0,0,0,0,0,1,50000,1,27,5,6,4,1,1,"",1,"",1,2,2,2,2,2,2,3,2,4,1,"",1,4,3,22102,22192,22192,22192,1,1,22192,3,22192,6,2,2,2,2,3,2,3,2,3,2,2,2,3,1,5,4,3,5,3,5,3,5,3,3,3,4,3,4,2,3,3,3,4,2,2,2,2,2,3,2,2,3,2,3,1,3,3,3,5,4,3,4,2,4,2,3,3,2,4,3,4,4,3,4,3,5,3,5,2,3,4,2,4,3,1,2,1
291,100,895,1,2018-03-01 20:09:26,"R_3lFgaeZme7VICFH",1,3,5,4,5,3,4,5,5,5,5,6,4,5,5,5,500,10,1,1,2,3,2,3,2,6,6,97,67,73,65,69,62,56,80,60,88,78,72,80,69,50,3,2,"",3,"",1,"1",1,1,"","4",2,3,4,2,1,"I think the AC units are a big thing... Oh also my cryptocurrency mining rig kind of kills the environment; but I don't care.","AC windows, Crypto Mining Rig","No",2,3,2,3,2,3,4,2,2,3,2,4,2,3,3,4,4,5,2,2,3,0,0,0,0,0,0,1,320,1,26,4,4,2,1,1,"",1,"",1,1,1,1,1,1,5,4,4,6,1,"",1,8,68,70,70,75,75,2,2,75,5,70,5,2,2,2,3,1,2,2,3,3,2,1,3,3,2,3,3,1,4,4,3,4,3,6,3,3,3,3,3,3,3,3,3,4,6,3,2,3,3,3,3,3,3,2,2,2,3,2,6,6,6,6,6,6,3,3,3,6,3,6,6,6,6,6,6,3,3,3,6,2,2,4,3,3,3,2,2,1
292,100,1208,1,2018-03-01 20:15:08,"R_7aOGwMFvH8EvbH3",1,6,1,4,2,2,1,1,3,2,2,6,4,4,1,3,400,10,1,2,3,3,3,3,2,3,6,75,160,140,111,148,170,150,150,130,40,25,120,40,50,60,2,2,"",2,"",2,"0",7,2,"","5",4,3,4,2,1,"I'm assuming the washer/dryer.","Heating/AC","We've placed water spout adjusters on our sinks to better control how much water we use. I'm not sure if that's the same as energy efficiency, though.",3,1,3,1,3,2,5,2,2,1,2,1,2,4,1,5,4,3,2,5,2,0,0,0,0,0,0,2,70,2,26,4,3,3,1,4,"",1,"",1,1,1,1,1,1,8,0,0,1,1,"",3,8,312,62,50,72,86,4,4,70,8,73,8,2,1,2,1,1,3,1,1,1,1,1,3,1,5,2,1,5,1,1,5,1,3,6,1,2,2,2,6,1,1,5,1,5,6,2,1,1,1,1,3,1,1,1,1,1,3,1,5,5,5,6,1,1,2,5,3,6,1,5,5,5,6,1,1,3,5,5,6,5,2,5,5,1,2,2,2,4
293,100,616,1,2018-03-01 20:17:08,"R_3kLEEhqy7c81nu8",1,4,6,7,4,2,4,6,2,4,3,2,1,3,6,4,500,10,1,1,3,4,3,3,1,4,1,112,28,66,41,115,149,67,148,113,117,71,24,121,105,48,1,1,"",1,"",2,"1",3,3,"","2",5,5,3,2,1,"Turn the lights out when they are not in use.","Having more than one light on at once for no reason.","none that i can think of",3,2,4,4,2,1,4,1,2,4,4,3,1,2,1,1,4,5,5,4,2,0,0,0,0,0,0,2,200,1,26,2,4,3,1,2,"",1,"",1,1,1,3,3,3,1,0,0,0,1,"",2,8,312,70,65,70,70,2,1,60,2,70,5,4,1,3,1,3,3,1,1,1,1,2,3,3,4,4,5,5,4,2,2,1,1,2,3,4,5,2,2,3,4,1,1,2,6,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,4,1,5,4,3,2,2,2
294,100,2316,1,2018-03-01 20:36:41,"R_2Xntc6b4NwjepG2",1,8,9,1,1,1,1,1,6,1,1,8,6,8,1,8,500,10,1,2,6,3,3,3,2,3,1,45,72,65,56,200,200,200,200,200,38,26,200,200,200,200,1,2,"",5,"",1,"1",6,4,"","2",6,1,6,2,1,"I currently do all I know how to do.","none","triple pane windows but I can't because I rent",2,1,2,1,2,1,1,2,3,3,4,5,1,3,1,3,1,1,1,5,5,0,0,0,0,0,0,2,55,1,59,2,2,1,1,4,"",1,"",1,2,1,2,1,2,0,1,0,0,1,"",1,8,306,70,70,74,78,1,1,72,7,72,7,5,1,1,1,1,3,1,1,3,1,3,1,5,2,5,4,6,3,5,6,3,6,5,3,3,5,3,6,2,2,6,4,6,5,5,1,1,1,1,3,1,1,3,1,3,1,4,5,5,5,6,4,5,6,5,6,5,2,5,5,5,6,2,2,6,5,6,5,1,3,5,4,1,1,2,2,5
295,100,2656,1,2018-03-01 20:39:10,"R_2aaGy748mByOEto",1,7,6,8,3,8,6,6,4,3,1,1,7,1,1,4,500,10,1,2,3,3,3,3,2,3,1,20,75,60,30,175,200,140,200,110,80,25,200,35,80,120,2,2,"",6,"Do not have central A/C",1,"3",3,4,"","4",2,4,4,2,1,"Replacing more incandescent light bulbs with CFLs and LEDs. Replacing the old, drafty windows with new, more energy-efficient windows. Replacing window air conditioners with newer more energy-efficient models. Turning the heat down to 65 in winter and using A/C less in summer. Replacing old refrigerator with new more energy-efficient model.","The windows are very old and heat is likely escaping in winter and entering in summer, especially since we have electric heat. The refrigerator is an older model and I can hear that it runs a lot and is probably wasting energy because it is inefficient.","It might pay to use those energy-saving temporary clear plastic window insulation kits during winter to help keep cold air from coming in. It might also be a good to put the weather-stripping along the bottom of the outside doors. It could help to close curtains to keep sunlight out in summer when using air conditioning. Installing a water-saving shower head might help since we have electric hot water.",2,2,3,2,2,1,5,2,4,2,4,1,1,2,1,2,4,3,4,2,5,0,0,0,0,0,0,3,148,1,59,5,2,2,1,4,"",1,"",1,2,1,2,2,2,5,0,0,0,1,"",1,3,68,72,65,74,82,2,2,74,4,74,7,3,1,1,3,1,3,1,1,2,1,1,3,2,1,6,1,6,2,3,4,2,1,6,3,2,6,2,6,2,1,4,3,5,6,3,1,3,3,3,3,1,1,3,3,1,3,1,5,5,5,6,1,3,5,5,1,6,2,5,5,5,6,2,1,5,5,5,6,4,3,5,2,1,3,2,2,1
296,100,2818,1,2018-03-01 20:43:38,"R_73QPPBB7C178HaV",1,4,8,8,8,8,1,8,7,1,7,7,7,7,1,1,500,10,0,2,3,3,3,3,1,3,1,40,50,24,50,190,200,200,200,200,40,25,200,200,200,200,5,3,"",3,"",2,"0",2,6,"n/a","10",4,4,2,1,1,"Solar cells on the roof","I have new central air, solar hot water heater, predominately LED bulbs, I have sealed my ducts, sealed the house and manage temperatures day and night with programmable thermostats.  For over ten thousand dollars, I could improve my already double pained windows.","No",1,1,1,1,1,1,5,1,5,1,5,2,5,1,1,2,2,1,5,5,5,0,0,0,0,0,0,1,175,1,71,6,6,2,1,2,"",1,"",1,1,1,1,1,1,5,0,0,0,1,"",1,8,288,70,70,72,72,1,2,68,3,70,4,4,1,3,3,1,1,1,1,1,1,1,3,5,6,6,3,5,3,5,3,4,5,6,1,6,6,3,5,1,6,4,3,5,6,5,2,3,3,2,1,1,1,2,1,1,3,3,6,6,3,5,2,5,4,5,5,6,3,6,6,3,5,3,5,4,5,5,6,1,4,5,1,1,2,2,2,1
297,100,1567,1,2018-03-01 21:03:30,"R_eVA4bvVJvfNeInv",1,6,9,6,2,6,1,6,5,1,3,4,3,6,2,2,500,10,1,2,6,3,3,3,6,1,1,20,200,170,125,200,200,175,200,180,20,25,180,150,150,80,4,2,"",2,"",2,"0",7,7,"","20",4,2,5,1,1,"Better insulation on windows.","Taking too long showers and probably not the best insulation on windows.","I don't know.",4,2,1,1,1,1,3,1,1,3,1,2,1,3,1,4,2,5,3,3,2,0,0,0,0,0,0,1,200,1,29,3,2,3,1,1,"",1,"",1,1,1,1,1,1,0,0,8,0,1,"",3,8,348,69,67,72,69,1,1,72,7,72,7,5,1,1,1,3,1,1,1,1,1,1,1,5,5,6,6,3,4,5,5,3,5,5,4,3,5,6,3,1,1,4,2,4,6,4,1,1,1,3,1,1,1,1,1,1,3,4,5,5,6,3,4,5,5,5,5,6,2,2,5,6,1,1,1,4,6,4,6,1,3,4,5,2,5,2,2,4
