"id","Progress","Duration__in_seconds_","Finished","RecordedDate","ResponseId","Consent","ATT01","ATT02","ATT03","ATT04","ATT05","ATT06","ATT07","ATT08","ATT09","ATT10","ATT11","ATT12","ATT13","ATT14","ATT15","ATT16","ATT17","ATT18","ELS01","ELS02","ELS03","ELS04","ELS05","ELS06","ELS07","ELS08","ATT19","ATT20","ATT21","ATT22","ATT23","ATT24","ATT25","ATT26","ATT27","ATT28","ATT29","ATT30","ATT31","ATT32","ATT33","RECS01","RECS02","RECS03","RECS04","RECS05","RECS06","RECS07","RECS08","RECS09","RECS10","RECS11","RECS12","RECS13","RECS14","RECS15","RECS16","LAN01","LAN02","LAN03","LAN04","LAN05","LAN06","LAN07","LAN08","LAN09","NEP01","NEP02","NEP03","NEP04","NEP05","NEP06","NEP07","NEP08","NEP09","NEP10","NEP11","NEP12","NEP13","NEP14","NEP15","DUMMYVAR01","DUMMYVAR02","DUMMYVAR03","DUMMYVAR04","DUMMYVAR05","DUMMYVAR06","DEM01","DEM02","DEM03","DEM04","DEM05","DEM06","DEM07","DEM08","DEM09","DEM10","DEM11","DEM12","DEM13","DEM14","DEM15","DEM16","DEM17","DEM18","DEM19","DEM20","DEM21","DEM22","DEM23","DEM24","DEM25","DEM26","DEM27","LAN10","LAN11","LAN12","LAN13","LAN14","LAN15","LAN16","LAN17","LAN18","LAN19","LAN20","LAN21","LAN22","LAN23","LAN24","LAN25","LAN26","LAN27","LAN28","LAN29","LAN30","LAN31","LAN32","LAN33","LAN34","LAN35","LAN36","LAN37","LAN38","LAN39","LAN40","LAN41","LAN42","LAN43","LAN44","LAN45","LAN46","LAN47","LAN48","LAN49","LAN50","LAN51","LAN52","LAN53","LAN54","LAN55","LAN56","LAN57","LAN58","LAN59","LAN60","LAN61","LAN62","LAN63","LAN64","LAN65","LAN66","LAN67","LAN68","LAN69","LAN70","LAN71","LAN72","LAN73","LAN74","LAN75","LAN76","LAN77","LAN78","LAN79","LAN80","LAN81","LAN82","LAN83","LAN84","LAN85","LAN86","LAN87","RS01","RS02","RS03","RS04","RS05","RS06","DEM28","DEM29","DEM30"
1,100,153514,1,2018-11-03 11:16:21,"R_1FQ7ML96ZafnlJQ",1,6,3,5,6,6,5,5,5,4,2,5,3,5,5,4,500,10,0.1,2,3,3,6,3,2,5,1,50,200,150,80,130,400,800,1200,150,50,25,150,200,250,80,1,1,"",4,"",1,"2",3,4,"","6",4,4,3,2,2,"changing to power saving bulbs and turning off heater at night","bulbs and electric heater","nope",4,3,4,2,3,3,3,3,3,4,4,2,4,3,3,2,4,2,2,3,4,0,0,0,0,0,0,3,400,1,27,4,4,1,1,5,"",7,"",1,1,1,2,2,2,3,0,2,1,1,"",1,3,4,68,72,65,70,1,2,66,5,70,6,2,2,2,3,2,3,2,1,1,3,3,3,4,2,2,4,4,5,5,4,4,5,6,3,3,3,3,4,3,4,4,3,5,6,4,2,3,3,2,2,2,3,1,2,3,2,5,5,5,3,3,3,5,3,3,6,5,4,4,4,2,3,3,4,3,3,5,4,2,2,5,4,4,4,2,1,2
2,100,150992,1,2018-11-02 11:38:50,"R_3iR5XcyyYLxuPfy",1,7,2,5,1,7,1,1,4,4,4,5,1,7,1,1,500,10,0.1,1,1,3,3,3,2,4,1,77,200,185,150,500,200,200,500,350,120,120,400,200,200,200,3,3,"",2,"",2,"0",7,6,"n/a","6",5,5,5,2,1,"turning heat down, turning air conditioning up, use the dryer less","lights and fans left on, electronics always plugged in","unplug electronics when not in use",2,2,2,2,2,2,4,2,3,2,4,2,2,3,1,3,3,1,3,5,4,0,0,0,0,0,0,3,220,2,45,5,5,3,1,1,"",1,"",1,2,1,1,1,2,6,0,0,0,1,"",3,7,27,70,70,73,73,3,3,70,5,70,5,5,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,4,3,3,6,3,3,3,3,3,3,3,3,4,3,6,3,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,5,3,6,3,3,3,3,3,3,3,3,5,3,6,5,3,3,5,5,3,2,2,2
3,100,67732,1,2018-11-02 12:18:55,"R_OCCb4ET5r2LtU65",1,7,6,8,6,8,6,8,6,5,7,5,7,5,4,6,900,250,350,3,3,4,3,3,5,3,5,100,20,30,40,50,60,70,80,90,6000,4500,2000,210,200,650,3,4,"",3,"",2,"10",4,5,"","100",3,4,4,1,4,"Use solar energy that is only the saving of energy","Heating purpose area and some hotels, malls ,and ect.,","Units in the electrical meater",2,3,3,3,2,3,4,3,5,4,4,5,4,5,4,5,2,3,2,4,3,0,0,0,0,0,0,2,200,1,28,4,4,3,1,4,"",1,"",1,1,1,1,1,1,8,7,8,9,2,"",1,4,300,15,20,25,35,3,3,25,4,20,4,3,2,1,2,1,2,1,2,1,3,2,3,5,4,5,6,5,6,5,3,4,3,4,4,2,3,2,5,4,5,2,3,2,4,3,3,2,3,1,2,3,2,3,1,2,1,3,2,5,4,5,2,3,2,6,5,6,5,4,5,2,3,2,5,4,5,3,4,3,3,3,3,3,3,1,1,2
4,100,21785,1,2018-11-01 16:21:30,"R_1LvwvtJhny7SPy8",1,6,5,7,3,6,1,1,5,1,2,6,1,1,1,1,500,100,10,1,6,6,3,3,5,1,5,60,1200,900,700,1500,1000,1000,2000,1100,40,25,1500,500,500,400,1,4,"",4,"",2,"0",7,6,"N/A","2",6,6,1,2,1,"Probably be reducing how much electronics are used and making sure to turn them off when they are not in use.","Try to regulate the use of the central heating system, as that is the sole electronic that drives up my electric bill during the winter.","While I have seen some things that help energy conservation, they were mostly used on homes that are owned, I live in a apartment building so I couldn't do the same things without permission from the owners. I doubt they'd give permission for those things.",2,3,3,6,1,1,2,4,2,3,2,3,2,5,2,5,1,5,1,3,1,0,0,0,0,0,0,3,62,1,33,3,3,3,1,11,"",1,"",1,3,1,1,1,3,1,0,0,0,1,"",4,8,34,70,55,80,80,2,3,75,3,75,5,3,1,2,2,2,3,1,1,1,1,3,1,1,3,3,3,6,1,1,1,1,6,4,2,3,3,3,6,2,2,4,3,6,3,4,1,2,2,2,3,1,1,1,2,3,2,2,3,3,3,6,2,2,2,3,6,4,3,3,3,3,6,2,2,4,3,6,3,4,3,5,5,5,3,2,2,2
5,100,4725,1,2018-11-01 17:13:26,"R_6nWq6sN2MnGJCXD",1,5,6,4,5,4,5,6,6,5,4,5,6,4,5,4,500,10,0.1,1,3,4,4,2,2,5,1,120,150,120,200,180,250,280,250,150,75,80,200,180,150,100,2,3,"",3,"",3,"5",2,3,"","15",3,4,4,3,2,"To be Turn Off unwanted usage machines.","In my kitchen and living hall.","Nothing",4,3,2,2,1,2,3,4,3,2,3,4,3,4,2,3,4,3,3,4,2,0,0,0,0,0,0,2,500,1,35,3,4,4,1,1,"",5,"",3,3,1,1,2,3,4,5,3,5,2,"",1,4,8,30,10,10,30,2,3,20,7,30,6,3,2,3,1,2,1,2,2,3,2,1,2,3,4,3,5,4,3,5,3,5,5,3,3,4,5,3,4,5,3,3,5,4,3,4,2,1,2,3,2,2,1,2,3,2,2,4,3,5,4,3,5,3,4,3,5,4,3,2,5,4,4,3,4,5,3,4,5,3,2,4,2,3,2,2,2,2
6,100,4573,1,2018-11-01 10:14:37,"R_26luvI0NciqVOJq",1,6,4,6,2,8,1,1,3,1,5,3,3,6,1,5,500,10,0.1,1,1,3,3,3,2,3,5,100,200,150,50,400,1300,700,2000,750,90,25,100,200,300,400,1,2,"",2,"",1,"1",4,2,"","2",6,6,1,2,1,"Upgrading windows and doors, and using weather kits every winter. Using as many energy efficient appliances as possible.","The dishwasher is a big one. Our old washer could be replaced.","We're pretty conservative with our electrical usage already. I would just say upgrading everything would work well.",3,3,3,3,1,1,1,5,1,5,1,3,1,5,1,5,1,5,1,5,1,0,0,0,0,0,0,2,200,1,34,3,4,2,1,1,"",3,"",1,2,1,2,2,2,2,5,0,0,1,"",1,8,84,65,65,80,80,1,1,80,6,70,8,5,1,1,2,1,2,1,1,1,1,1,3,5,3,4,1,1,1,1,5,4,1,6,1,1,4,1,1,1,1,5,1,5,6,4,1,3,2,1,1,1,1,1,2,1,3,1,5,5,5,1,3,3,3,5,1,6,1,5,5,5,1,1,1,5,5,5,6,5,1,5,5,5,2,2,1,2
7,100,3752,1,2018-11-01 10:12:04,"R_3PSGT4oA6vgzR28",1,1,6,6,6,7,6,1,1,1,1,7,1,1,1,1,500,10,0.1,1,6,6,3,3,1,3,1,100,250,200,200,3000,1500,1500,3000,2000,50,25,3000,1000,1000,500,1,2,"",2,"",2,"0",7,6,"We have central air conditioning, no individual units","5",6,6,1,1,2,"I think the best opportunities for energy saving that we have already adapted in order to keep our home efficient are switching to LED lightbulbs, turning off lights when not in use, turning the thermostat down in the winter and up in the summer, only running the dishwasher when full, and turning off electronics that aren't in use.","I think we waste the most on heating the water as our family tends to take long showers and baths.","Hanging clothes to dry is a possibility in the future but wouldn't work well right now.",1,1,2,2,1,1,2,4,1,4,2,5,2,4,1,5,2,3,2,4,1,0,0,0,0,0,0,2,175,2,37,4,5,4,1,1,"",2,"",1,1,1,1,1,1,5,3,0,0,1,"",1,8,120,72,70,78,78,2,2,76,3,74,6,5,1,2,3,1,2,1,3,2,1,2,3,1,3,6,1,3,3,6,3,3,4,6,1,3,6,1,2,1,6,4,3,5,6,4,1,2,3,1,2,1,3,2,1,1,3,1,4,5,5,3,3,5,4,5,3,6,1,6,6,5,3,1,6,5,5,5,6,5,2,5,5,2,4,2,2,4
8,100,3746,1,2018-11-02 11:23:04,"R_3kGok1yA2EgJhcE",1,5,4,5,6,5,5,6,4,5,6,5,4,5,5,6,1000,25,20,3,2,4,2,3,1,4,3,25,30,1,15,5,4,3,2,2,25,35,20,45,15,2,3,2,"",3,"",1,"450",5,3,"","5",3,3,4,1,3,"good feel","like","no",2,2,2,2,2,3,3,2,1,2,2,2,3,3,2,2,3,3,2,1,2,0,0,0,0,0,0,1,2500,1,29,3,5,4,1,6,"",1,"",1,1,1,1,1,2,5,6,4,3,2,"",1,5,6,25,20,35,40,1,3,50,6,50,6,3,2,3,2,1,2,2,2,3,2,2,3,5,3,3,2,3,3,3,2,3,4,3,2,3,4,3,2,2,3,3,2,3,3,3,2,1,2,2,3,1,2,1,2,1,2,4,3,2,3,3,2,3,4,3,4,3,2,3,3,2,2,1,2,2,3,2,3,2,3,3,2,1,3,1,2,1
9,100,3563,1,2018-11-01 09:59:55,"R_3rOjU0eWuvUHkSn",1,4,7,7,1,1,7,5,1,4,4,7,6,1,1,1,500,10,0.1,2,3,6,3,3,6,1,5,100,80,50,50,220,200,200,150,120,50,25,200,150,200,150,2,3,"",4,"",1,"3",1,1,"","12",3,4,6,2,2,"turning off lights when not in room; washing/drying as many clothes as possible in each load; turning furnace down at night; turning a/c units off or turning up the temperature","inadequate furnace ducting, so as to need additional heating in some areas; leaving lights on when not in the room","solar, geotherm measures, but those are not affordable for me",3,2,3,2,1,3,4,4,2,2,3,2,1,2,1,4,4,4,3,4,2,0,0,0,0,0,0,1,200,2,49,3,4,4,1,1,"",2,"",1,1,1,2,2,2,3,3,0,0,1,"",3,8,163,74,70,80,80,4,4,76,6,78,8,4,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,6,3,4,4,4,3,3,2,5,4,4,6,2,1,1,1,1,1,1,1,1,1,1,3,1,3,3,5,2,2,2,4,5,4,6,3,4,4,5,3,3,2,5,5,4,6,4,2,5,5,5,4,2,2,4
10,100,3402,1,2018-11-01 09:55:00,"R_sMPU2jvzleC8Tux",1,2,1,2,2,2,1,1,6,6,2,2,2,6,6,6,500,10,0.01,1,1,3,3,2,5,3,5,100,1250,750,200,500,700,1250,1250,500,50,50,50,50,50,50,3,4,"",3,"",1,"1",4,4,"","3",4,2,2,1,1,"To reduce payments with any incentive.","When we aren't there or not active.","Smart technology use.",4,6,4,6,4,2,2,3,2,2,1,4,1,2,2,2,2,1,2,2,1,0,0,0,0,0,0,2,100,1,26,6,4,2,3,4,"",1,"",1,1,1,1,1,1,1,0,0,0,1,"",1,4,24,65,65,70,85,2,2,70,0,70,3,3,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,5,5,1,1,1,1,1,1,1,1,1,6,6,3,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,1,1,2,2,4
